codigo;nome;dengue_2019;dengue_2020
330540;São Fidélis;1;1
330440;Rio Claro;3;1
330110;Cantagalo;7;1
330450;Rio das Flores;19;1
330093;Carapebus;20;1
330227;Japeri;112;1
330023;Armação dos Búzios;135;1
330080;Cachoeiras de Macacu;2;2
330515;Sapucaia;2;2
330120;Carmo;6;2
330414;Queimados;23;2
330370;Paraíba do Sul;37;2
330310;Natividade;98;2
330090;Cambuci;6;3
330430;Rio Bonito;20;3
330200;Itaguaí;32;3
330025;Arraial do Cabo;47;3
330600;Três Rios;82;3
330022;Areal;0;4
330285;Mesquita;15;5
330390;Petrópolis;186;5
330150;Cordeiro;3;6
330210;Itaocara;7;6
330320;Nilópolis;11;6
330140;Conceição de Macabu;54;6
330412;Quatis;58;6
330100;Campos dos Goytacazes;78;6
330615;Varre-Sai;30;7
330300;Miracema;734;7
330575;Tanguá;17;11
330350;Nova Iguaçu;76;11
330510;São Pedro da Aldeia;145;11
330160;Duas Barras;3;12
330340;Nova Friburgo;19;12
330250;Magé;59;12
330580;Teresópolis;25;13
330290;Miguel Pereira;30;13
330480;São João da Barra;3;14
330260;Mangaratiba;75;14
330410;Porciúncula;129;14
330490;São José de Ubá;768;14
330115;Cardoso Moreira;17;15
330180;Engenheiro Paulo de Frontin;4;17
330411;Porto Real;21;17
330060;Bom Jesus do Itabapoana;339;18
330030;Barra do Piraí;201;19
330130;Casimiro de Abreu;72;20
330205;Italva;20;21
330225;Itatiaia;47;21
330020;Araruama;136;22
330040;Barra Mansa;240;27
330015;Aperibé;45;28
330610;Valença;29;35
330380;Paraty;46;35
330045;Belford Roxo;331;35
330470;Santo Antônio de Pádua;29;36
330520;Saquarema;231;38
330170;Duque de Caxias;721;44
330187;Iguaba Grande;32;45
330240;Macaé;208;49
330270;Maricá;78;51
330550;São Francisco de Itabapoana;26;53
330220;Itaperuna;229;60
330452;Rio das Ostras;233;64
330385;Paty do Alferes;77;71
330070;Cabo Frio;271;74
330330;Niterói;370;83
330420;Resende;421;84
330400;Piraí;327;95
330395;Pinheiral;96;129
330010;Angra dos Reis;835;147
330190;Itaboraí;761;236
330475;São João de Meriti;889;271
330620;Vassouras;277;480
330630;Volta Redonda;2787;481
330455;Rio de Janeiro;17951;1129
330095;Comendador Levy Gasparian;1;0
330530;Seropédica;1;0
330230;Laje do Muriaé;5;0
330280;Mendes;9;0
330185;Guapimirim;10;0
330360;Paracambi;10;0
330560;Silva Jardim;10;0
330415;Quissamã;11;0
330500;São José do Vale do Rio Preto;32;0
330513;São Sebastião do Alto;35;0
330050;Bom Jardim;43;0
330555;São Gonçalo;115;0
330245;Macuco;0;0
330460;Santa Maria Madalena;0;0
330570;Sumidouro;0;0
330590;Trajano de Moraes;0;0
