codigo;nome;pop_2019;pop_2020
330010;Angra dos Reis;203785;207044
330015;Aperibé;11759;11901
330020;Araruama;132400;134293
330022;Areal;12572;12669
330023;Armação dos Búzios;40532;34477
330025;Arraial do Cabo;30349;30593
330030;Barra do Piraí;100374;100764
330040;Barra Mansa;184412;184833
330045;Belford Roxo;510906;513118
330050;Bom Jardim;27446;27616
330060;Bom Jesus do Itabapoana;37096;37203
330070;Cabo Frio;219863;230378
330080;Cachoeiras de Macacu;58937;59303
330090;Cambuci;15505;15514
330100;Campos dos Goytacazes;507548;511168
330110;Cantagalo;20172;20168
330093;Carapebus;16301;16586
330115;Cardoso Moreira;12823;12821
330120;Carmo;18895;19030
330130;Casimiro de Abreu;44184;45041
330095;Comendador Levy Gasparian;8561;8576
330140;Conceição de Macabu;23228;23398
330150;Cordeiro;21926;22041
330160;Duas Barras;11492;11528
330170;Duque de Caxias;919596;924624
330180;Engenheiro Paulo de Frontin;14002;14071
330185;Guapimirim;60517;61388
330187;Iguaba Grande;28310;28837
330190;Itaboraí;240592;242543
330200;Itaguaí;133019;134819
330205;Italva;15207;15299
330210;Itaocara;23234;23222
330220;Itaperuna;103224;103800
330225;Itatiaia;31805;32064
330227;Japeri;104768;105548
330230;Laje do Muriaé;7355;7326
330240;Macaé;256672;261501
330245;Macuco;5599;5623
330250;Magé;245071;246433
330260;Mangaratiba;44468;45220
330270;Maricá;161207;164504
330280;Mendes;18614;18648
330285;Mesquita;176103;176569
330290;Miguel Pereira;25538;25581
330300;Miracema;27174;27154
330310;Natividade;15317;15311
330320;Nilópolis;162485;162693
330330;Niterói;513584;515317
330340;Nova Friburgo;190631;191158
330350;Nova Iguaçu;821128;823302
330360;Paracambi;52257;52683
330370;Paraíba do Sul;44285;44518
330380;Paraty;43165;43680
330385;Paty do Alferes;27769;27858
330390;Petrópolis;306191;306678
330395;Pinheiral;25156;25364
330400;Piraí;29277;29545
330410;Porciúncula;18847;18960
330411;Porto Real;19683;19974
330412;Quatis;14302;14435
330414;Queimados;150319;151335
330415;Quissamã;24700;25126
330420;Resende;131341;132312
330430;Rio Bonito;60201;60573
330440;Rio Claro;18529;18605
330450;Rio das Flores;9284;9344
330452;Rio das Ostras;150674;155193
330455;Rio de Janeiro;6718903;6747815
330460;Santa Maria Madalena;10404;10392
330470;Santo Antônio de Pádua;42479;42594
330540;São Fidélis;38669;38710
330550;São Francisco de Itabapoana;42205;42210
330555;São Gonçalo;1084839;1091737
330480;São João da Barra;36102;36423
330475;São João de Meriti;472406;472906
330490;São José de Ubá;7171;7206
330500;São José do Vale do Rio Preto;21795;21916
330510;São Pedro da Aldeia;104476;106049
330513;São Sebastião do Alto;9357;9387
330515;Sapucaia;18228;18249
330520;Saquarema;89170;90583
330530;Seropédica;82312;83092
330560;Silva Jardim;21774;21774
330570;Sumidouro;15623;15667
330575;Tanguá;34309;34610
330580;Teresópolis;182594;184240
330590;Trajano de Moraes;10626;10640
330600;Três Rios;81804;82142
330610;Valença;76523;76869
330615;Varre-Sai;11000;11106
330620;Vassouras;36896;37083
330630;Volta Redonda;273012;273988
